Country,Monetary_Unit,Date,Rate
Australia,Dollars, 4-Jan-00 ,0.6562
Australia,Dollars, 5-Jan-00 ,0.6550
Australia,Dollars, 6-Jan-00 ,0.6540
Australia,Dollars, 7-Jan-00 ,0.6548
Australia,Dollars,10-Jan-00 ,0.6561
Australia,Dollars,11-Jan-00 ,0.6575
Australia,Dollars,12-Jan-00 ,0.6578
Australia,Dollars,13-Jan-00 ,0.6687
Australia,Dollars,14-Jan-00 ,0.6665
Australia,Dollars,17-Jan-00 ,ND
Australia,Dollars,18-Jan-00 ,0.6640
Australia,Dollars,19-Jan-00 ,0.6634
Australia,Dollars,20-Jan-00 ,0.6666
Australia,Dollars,21-Jan-00 ,0.6621
Australia,Dollars,24-Jan-00 ,0.6544
Australia,Dollars,25-Jan-00 ,0.6542
Australia,Dollars,26-Jan-00 ,0.6505
Australia,Dollars,27-Jan-00 ,0.6550
Australia,Dollars,28-Jan-00 ,0.6265
Australia,Dollars,31-Jan-00 ,0.6382
Australia,Dollars, 1-Feb-00 ,0.6315
Australia,Dollars, 2-Feb-00 ,0.6360
Australia,Dollars, 3-Feb-00 ,0.6387
Australia,Dollars, 4-Feb-00 ,0.6315
Australia,Dollars, 7-Feb-00 ,0.6339
Australia,Dollars, 8-Feb-00 ,0.6353
Australia,Dollars, 9-Feb-00 ,0.6345
Australia,Dollars,10-Feb-00 ,0.6320
Australia,Dollars,11-Feb-00 ,0.6282
Australia,Dollars,14-Feb-00 ,0.6279
Australia,Dollars,15-Feb-00 ,0.6300
Australia,Dollars,16-Feb-00 ,0.6301
Australia,Dollars,17-Feb-00 ,0.6320
Australia,Dollars,18-Feb-00 ,0.6292
Australia,Dollars,21-Feb-00 ,ND
Australia,Dollars,22-Feb-00 ,0.6257
Australia,Dollars,23-Feb-00 ,0.6196
Australia,Dollars,24-Feb-00 ,0.6144
Australia,Dollars,25-Feb-00 ,0.6175
Australia,Dollars,28-Feb-00 ,0.6116
Australia,Dollars,29-Feb-00 ,0.6155
Australia,Dollars, 1-Mar-00 ,0.6067
Australia,Dollars, 2-Mar-00 ,0.6077
Australia,Dollars, 3-Mar-00 ,0.6082
Australia,Dollars, 6-Mar-00 ,0.6016
Australia,Dollars, 7-Mar-00 ,0.6035
Australia,Dollars, 8-Mar-00 ,0.6094
Australia,Dollars, 9-Mar-00 ,0.6155
Australia,Dollars,10-Mar-00 ,0.6136
Australia,Dollars,13-Mar-00 ,0.6165
Australia,Dollars,14-Mar-00 ,0.6140
Australia,Dollars,15-Mar-00 ,0.6125
Australia,Dollars,16-Mar-00 ,0.6107
Australia,Dollars,17-Mar-00 ,0.6067
Australia,Dollars,20-Mar-00 ,0.6065
Australia,Dollars,21-Mar-00 ,0.6100
Australia,Dollars,22-Mar-00 ,0.6056
Australia,Dollars,23-Mar-00 ,0.6041
Australia,Dollars,24-Mar-00 ,0.6064
Australia,Dollars,27-Mar-00 ,0.6114
Australia,Dollars,28-Mar-00 ,0.6141
Australia,Dollars,29-Mar-00 ,0.6124
Australia,Dollars,30-Mar-00 ,0.6125
Australia,Dollars,31-Mar-00 ,0.6062
Australia,Dollars, 3-Apr-00 ,0.6073
Australia,Dollars, 4-Apr-00 ,0.6032
Australia,Dollars, 5-Apr-00 ,0.6053
Australia,Dollars, 6-Apr-00 ,0.6016
Australia,Dollars, 7-Apr-00 ,0.6003
Australia,Dollars,10-Apr-00 ,0.5991
Australia,Dollars,11-Apr-00 ,0.5957
Australia,Dollars,12-Apr-00 ,0.5970
Australia,Dollars,13-Apr-00 ,0.5963
Australia,Dollars,14-Apr-00 ,0.5972
Australia,Dollars,17-Apr-00 ,0.5913
Australia,Dollars,18-Apr-00 ,0.5946
Australia,Dollars,19-Apr-00 ,0.5957
Australia,Dollars,20-Apr-00 ,0.5931
Australia,Dollars,21-Apr-00 ,0.5925
Australia,Dollars,24-Apr-00 ,0.5945
Australia,Dollars,25-Apr-00 ,0.5956
Australia,Dollars,26-Apr-00 ,0.5890
Australia,Dollars,27-Apr-00 ,0.5875
Australia,Dollars,28-Apr-00 ,0.5837
Australia,Dollars, 1-May-00 ,0.5800
Australia,Dollars, 2-May-00 ,0.5857
Australia,Dollars, 3-May-00 ,0.5900
Australia,Dollars, 4-May-00 ,0.5914
Australia,Dollars, 5-May-00 ,0.5935
Australia,Dollars, 8-May-00 ,0.5870
Australia,Dollars, 9-May-00 ,0.5828
Australia,Dollars,10-May-00 ,0.5815
Australia,Dollars,11-May-00 ,0.5790
Australia,Dollars,12-May-00 ,0.5810
Australia,Dollars,15-May-00 ,0.5739
Australia,Dollars,16-May-00 ,0.5773
Australia,Dollars,17-May-00 ,0.5685
Australia,Dollars,18-May-00 ,0.5703
Australia,Dollars,19-May-00 ,0.5728
Australia,Dollars,22-May-00 ,0.5740
Australia,Dollars,23-May-00 ,0.5747
Australia,Dollars,24-May-00 ,0.5713
Australia,Dollars,25-May-00 ,0.5700
Australia,Dollars,26-May-00 ,0.5716
Australia,Dollars,29-May-00 ,ND
Australia,Dollars,30-May-00 ,0.5768
Australia,Dollars,31-May-00 ,0.5708
Australia,Dollars, 1-Jun-00 ,0.5721
